,FATAL,INCAPACITATING INJURY,NO INDICATION OF INJURY,NONINCAPACITATING INJURY,"REPORTED, NOT EVIDENT"
PRIM_CONTRIBUTORY_CAUSE[T.TURNING RIGHT ON RED],-0.00019630911881916396,-0.0003082064315335188,.,0.00024431771981132337,0.0003394445298112069
PRIM_CONTRIBUTORY_CAUSE[T.UNABLE TO DETERMINE],-0.016533340734078618,-0.04945016042530895,0.14036770730031561,-0.012264237771002618,0.015128950283102741
PRIM_CONTRIBUTORY_CAUSE[T.UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED)],0.001440729791823647,0.002823792510126044,0.004679159264992356,-0.002689208957842777,-0.0065753188497004135
"PRIM_CONTRIBUTORY_CAUSE[T.VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)]",-0.0008062968415352412,0.0015249942399374978,-0.0019703377749251357,0.0020261818452529607,-0.0006789746548227448
PRIM_CONTRIBUTORY_CAUSE[T.WEATHER],-0.003958222006728055,-0.008825568988144539,0.01678225451047422,-0.0025313542842052414,0.00047376970676666545
SEC_CONTRIBUTORY_CAUSE[T.BICYCLE ADVANCING LEGALLY ON RED LIGHT],.,-0.00022546272764970005,.,.,0.00016489833741948837
SEC_CONTRIBUTORY_CAUSE[T.CELL PHONE USE OTHER THAN TEXTING],-0.00015155021600955177,-0.00020931937466394428,0.0004417506986610758,.,.
SEC_CONTRIBUTORY_CAUSE[T.DISREGARDING OTHER TRAFFIC SIGNS],0.00019331320635969853,0.0009736099776364188,.,-0.0009381665251748876,-0.0001409518903036557
SEC_CONTRIBUTORY_CAUSE[T.DISREGARDING ROAD MARKINGS],0.0001666561604292494,0.0006566511718265328,.,-0.0005378853151190318,-0.00021467550483349098
SEC_CONTRIBUTORY_CAUSE[T.DISREGARDING STOP SIGN],-0.0005601281242756315,0.0012205593974969084,0.0005252102566950818,-0.000346498436461774,-0.0007542706982205507
SEC_CONTRIBUTORY_CAUSE[T.DISREGARDING TRAFFIC SIGNALS],0.0006829707237950612,0.0038111584742105986,0.0001638127599097316,-0.001925363880084786,-0.002038925362785754
SEC_CONTRIBUTORY_CAUSE[T.DISREGARDING YIELD SIGN],.,.,.,-0.0004112179875256652,0.00014029914390834694
SEC_CONTRIBUTORY_CAUSE[T.DISTRACTION - FROM INSIDE VEHICLE],.,0.00015899947073992355,0.0005027827979359689,0.0007173911936441707,-0.0013677697720268606
SEC_CONTRIBUTORY_CAUSE[T.DISTRACTION - FROM OUTSIDE VEHICLE],0.0005160270967618791,0.0004618833919805074,.,-0.0011686685601345302,.
"SEC_CONTRIBUTORY_CAUSE[T.DISTRACTION - OTHER ELECTRONIC DEVICE (NAVIGATION DEVICE, DVD PLAYER, ETC.)]",.,-0.00040823843263691257,0.00016338515720358413,.,0.0001481359091196472
