,FATAL,INCAPACITATING INJURY,NO INDICATION OF INJURY,NONINCAPACITATING INJURY,"REPORTED, NOT EVIDENT"
PRIM_CONTRIBUTORY_CAUSE[T.IMPROPER TURNING/NO SIGNAL],0.0,0.0,0.0,0.0,0.0
PRIM_CONTRIBUTORY_CAUSE[T.MOTORCYCLE ADVANCING LEGALLY ON RED LIGHT],0.0,0.0,0.0,0.0,0.0
PRIM_CONTRIBUTORY_CAUSE[T.NOT APPLICABLE],0.0,0.0,0.006654291682019099,0.0,0.0
PRIM_CONTRIBUTORY_CAUSE[T.OBSTRUCTED CROSSWALKS],0.0,0.0,0.0,0.0,0.0
"PRIM_CONTRIBUTORY_CAUSE[T.OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER]",0.0,0.0,-0.027726642171538567,0.0,-0.00011485747649155975
PRIM_CONTRIBUTORY_CAUSE[T.PASSING STOPPED SCHOOL BUS],0.0,0.0,0.0,0.0,0.0
PRIM_CONTRIBUTORY_CAUSE[T.PHYSICAL CONDITION OF DRIVER],0.0,0.03242626369495549,-0.10309712943812753,0.0,-0.02203722739740417
PRIM_CONTRIBUTORY_CAUSE[T.RELATED TO BUS STOP],0.0,0.0,0.0,0.0,0.0
PRIM_CONTRIBUTORY_CAUSE[T.ROAD CONSTRUCTION/MAINTENANCE],0.0,0.0,0.0,0.0,0.0
PRIM_CONTRIBUTORY_CAUSE[T.ROAD ENGINEERING/SURFACE/MARKING DEFECTS],0.0,0.0,0.0009284877833900682,0.0,0.0
PRIM_CONTRIBUTORY_CAUSE[T.TEXTING],0.0,0.0,0.0,0.0,0.0
